abscess
acne
acrochordon
adenocarcinoma
adhd
adhesions
afib,a fib, a fibulation
aggression
agoraphobia
alcohol,alcoholic,alcoholism
allergy,allergies
alopecia
als
alzheimers,alzheimer's
amphetamine,amphetamines
amputation
anemia
anemic
aneurysm
anger
angina
angioedema
anisometropia
ankylosing
anosmia
anxiety
aphasia
apnea
appendectomy
appendicitis
areata
arrhythmia
arthralgia
arthritis
asthma
astigmatism
ataxia
atherosclerosis
aureus
baker,bakers
barbae
bifida
bipolar,bi polar
blepharitis
blindness
bradycardia
bronchitis
bunion,bunions
burn,burns
bursitis
cardiomegaly
cardiomyopathy
cataract,cataracts
cavity
cellulitis
cervicalgia
chf,congestive heart failure
chloracne
cholecystitis
chondromalacia
cirrhosis
claustrophobia
clot,clots
coccydynia
colitis
concussion,concussions
condyloma
condylomata
confusion
conjunctivitis
constipation
copd
costochondritis
crohns,crohn s
cyst,cysts
cystitis
cystocele
dandruff
dementia
dengue
depression
dermatitis
dermatophytosis
dermatosis
diabetes,dm ii,dm2,dmii,diabetes mellitus
diarrhea
diverticulitis
diverticulosis
dizziness,dizzy,dizzyness
dorsalgia
dreams
dysentery
dyshidrosis
dyslipidemia
dysmenorrhea
dyspepsia
dysphagia
dysphonia
dysplasia
dyspnea
dystonia
dysuria
eczema
erectile dysfunction,ed,e d
edema
effusion
embolism
emphysema
encephalopathy
endometriosis
enuresis
epicondylitis
epididymitis
epilepsy
epistaxis
erythema
esophagitis
fainting
fasciitis
fibrillation
fibromyalgia
fibrosis
fissure,fissures
flatfoot,flatfeet
floaters
folliculitis
fracture,fractures
frostbite,frost bite
furunculosis
gallstones,gallstone
ganglion
gastritis
gastroenteritis
gerd
gingivitis
glaucoma
glioblastoma
gout
graves,grave s,grave
gravis
gynecomastia
hallucinations
hallux
hay fever
headache,headaches
heartburn
hematochezia
hematuria
hemiplegia
hemorrhage
hemorrhoids,hemorrhoid,hemmorhoids,hemmoroids,hemmorrhoids,hemmroids,hemorroids
hepatitis,hep-c,hep c
hernia,hernias
herpes
hiv
hook worm
hpv
hydrocele
hyper
hypercalcemia
hypercholesterolemia
hyperglycemia
hyperhidrosis,hyperhydrosis
hyperlipidemia
hypermetropia
hyperparathyroidism
hypersomnia
hypertension,hypertention,htn,hyper tension
hyperthyroidism
hypertriglyceridemia
hypervigilance
hypoglycemia
hypogonadism
hypokalemia
hyponatremia
hypoparathyroidism
hypotension
hypothyroidism,hypothroidism,hypothyroid
ibs
impingement
impotency
incontinence
indigestion
infarction
infection
infertility
ingrown
insomnia,insomia,insomina,sleepless,sleeplessness
instability
irritability
jaundice
jungle rot
keratoconus
keratosis
labyrinthitis
laryngitis
lesion,lesions
leukopenia
libido
lipoma,lipomas
lupus
lyme
lymphadenopathy,lymphedema
macrocytosis
malabsorption
malaise
malaria
malnutrition
mass
mastocytosis
meniere,meniere s,meniers
meningitis
menometrorrhagia
menorrhagia
menses
menstruation
meralgia paresthetica
mersa
metatarsalgia
metrorrhagia
migraine,migraines,migrane,migranes,migrain,migrains
miscarriage
molluscum contagiosum
monoclonal gammopathy
mononucleosis
morton's,mortons
mrsa
mumps
murmur,murmurs
myalgia
myasthenia
mycosis fungoides
myelofibrosis
myelopathy
myocarditis
myopia
myositis
narcolepsy
nausea
neoplasm
nephritis
nephrolithiasis
nephropathy
nervous,nervousness
neuralgia
neuritis
neuroma
neuropathy
neutropenia
nevus
nightmare,nightmares
nocturia
nosebleed,nosebleeds
numbness
obesity,overweight
obsessive compulsive disorder,ocd
oligomenorrhea
onychocryptosis
onychomycosis
orchitis
osgood
osteoarthritis
osteitis pubis
osteoarthrosis
osteomalacia
osteomyelitis
osteopenia
osteoporosis
otitis
otosclerosis
palpitations
palsy
pancreatitis
pancytopenia
panic
pansinusitis
papilloma
paralysis
paranoia
paraplegia
parasomnia
paresthesia
parkinson,parkinsons
pericarditis
pharyngitis
phobia,phobias
photophobia
photosensitivity
pinguecula
pityriasis
pleurisy
pneumonia
polycythemia
polymyalgia
polyneuropathy
polyuria
porphyria
presbyopia
proctitis
prostatitis
proteinuria
pruritus
pseudofolliculitis
psoriasis
psychosis
ptsd,post traumatic stress disorder
pyelonephritis
pylori
radiculopathy
raynaud,raynauds
retinopathy
rhabdomyolysis
rhinitis,rhinitus
ringing
rosacea
sacroilitis,sacroiliitis
sarcoidosis
scar,scarring,scars
schizophrenia
scleroderma
sclerosis
scoliosis
seizure,seizures
sensitivity
septoplasty
shingles
sinusitis,sinusitus
somnambulism,sleepwalking
snoring
somnolence
spondylolisthesis
spondylolysis
spondylosis
sprain,sprains
spur,spurs
staph,staphylococcal,staphylococcus
stiffness
stroke,strokes
stuttering
suicide
sweats
syncope
synovitis
tachycardia
tuberculosis,tb
tendinitis,tendonitis
tenosynovitis
tension
thrombocytopenia
thrombosis
tinea
tinnitus
tmj
tonsillitis
torticollis
traumatic brain injury,tbi
tremor,tremors
tumor,tumors
ulcer,ulcers
urethritis
urination
urticaria,hives
uti
vaginitis
vaginosis
vertigo
vitiligo
vulvovaginitis
wart,warts
zoster
